id,fecha,producto,categoria,pais,region,vendedor,cantidad,precio
1,2026-01-05,Laptop,Computo,Mexico,Centro,Carlos,2,15000
2,2026-01-06,Bocina,Audio,Mexico,Norte,Ana,4,3500
3,2026-01-07,Monitor,Computo,USA,Norte,Luis,3,4200
4,2026-01-08,Audifonos,Audio,Mexico,Centro,Carlos,5,1200
5,2026-01-09,Teclado,Accesorios,Canada,Occidente,Ana,8,800
6,2026-01-10,Mouse,Accesorios,Mexico,Sur,Luis,10,450
7,2026-01-12,Subwoofer,Audio,Mexico,Centro,Carlos,2,7800
8,2026-01-13,Laptop,Computo,Canada,Norte,Ana,1,17500
9,2026-01-14,Microfono,Audio,USA,Norte,Luis,6,2100
10,2026-01-15,Monitor,Computo,Mexico,Centro,Ana,4,3900
11,2026-01-17,Teclado,Accesorios,Mexico,Occidente,Carlos,12,750
12,2026-01-18,Bocina,Audio,Canada,Norte,Luis,3,3200
13,2026-01-20,Mouse,Accesorios,USA,Sur,Ana,15,500
14,2026-01-21,Laptop,Computo,Mexico,Sur,Luis,2,14800
15,2026-01-22,Audifonos,Audio,Canada,Occidente,Carlos,7,1350
16,2026-01-24,Microfono,Audio,Mexico,Centro,Ana,5,1950
17,2026-01-25,Monitor,Computo,USA,Norte,Carlos,2,4500
18,2026-01-27,Teclado,Accesorios,Mexico,Norte,Luis,9,820
19,2026-01-28,Bocina,Audio,Mexico,Sur,Ana,4,3600
20,2026-01-30,Mouse,Accesorios,Canada,Centro,Carlos,11,480
21,2026-02-02,Laptop,Computo,Mexico,Centro,Ana,3,15200
22,2026-02-03,Subwoofer,Audio,USA,Norte,Luis,2,8200
23,2026-02-05,Audifonos,Audio,Mexico,Occidente,Carlos,10,1150
24,2026-02-06,Monitor,Computo,Canada,Norte,Ana,3,4100
25,2026-02-08,Teclado,Accesorios,USA,Sur,Luis,14,780
26,2026-02-10,Microfono,Audio,Mexico,Centro,Carlos,8,2050
27,2026-02-12,Mouse,Accesorios,Mexico,Sur,Ana,20,430
28,2026-02-14,Bocina,Audio,Canada,Occidente,Luis,5,3400
29,2026-02-16,Laptop,Computo,USA,Norte,Carlos,2,16000
30,2026-02-18,Monitor,Computo,Mexico,Centro,Ana,5,4000
31,2026-02-20,Teclado,Accesorios,Mexico,Norte,Carlos,16,790
32,2026-02-22,Audifonos,Audio,USA,Sur,Luis,9,1250
33,2026-02-24,Subwoofer,Audio,Mexico,Centro,Ana,1,7900
34,2026-02-25,Mouse,Accesorios,Canada,Occidente,Carlos,13,470
35,2026-02-27,Microfono,Audio,Mexico,Sur,Luis,6,2000
36,2026-03-01,Laptop,Computo,Canada,Norte,Ana,2,17000
37,2026-03-03,Bocina,Audio,Mexico,Centro,Carlos,6,3450
38,2026-03-05,Monitor,Computo,USA,Norte,Luis,4,4300
39,2026-03-07,Audifonos,Audio,Mexico,Occidente,Ana,12,1180
40,2026-03-09,Teclado,Accesorios,Canada,Sur,Carlos,10,810
41,2026-03-11,Mouse,Accesorios,Mexico,Centro,Luis,18,460
42,2026-03-13,Subwoofer,Audio,USA,Norte,Ana,2,8100
43,2026-03-15,Microfono,Audio,Mexico,Sur,Carlos,7,1980
44,2026-03-17,Laptop,Computo,Mexico,Centro,Luis,1,15500
45,2026-03-19,Monitor,Computo,Canada,Occidente,Ana,4,4050
46,2026-03-21,Teclado,Accesorios,Mexico,Norte,Carlos,20,760
47,2026-03-23,Bocina,Audio,Mexico,Sur,Luis,3,3550
48,2026-03-25,Audifonos,Audio,USA,Norte,Ana,8,1300
49,2026-03-27,Mouse,Accesorios,Canada,Centro,Carlos,15,490
50,2026-03-29,Microfono,Audio,Mexico,Occidente,Luis,5,2020
